,locality,proprety_type,price,bedrooms,area,equipped_kitchen,furnished,open_fire,terrace,terrace_area,garden,garden_area,surface,surface_plot,facades,swimming_pool,state
2961,7700 Mouscron,Duplex,129000,3.0,125.0,Installed,0.0,,,,,,125.0,,3.0,0.0, Good
2962,8620 Nieuwpoort,Studio,129000,1.0,32.0,,1.0,,,,,,32.0,,,0.0, As new
2963,7700 Mouscron,House,129000,3.0,130.0,Semi equipped,0.0,,1.0,40.0,,,130.0,143.0,2.0,0.0, Good
2964,1070 Anderlecht,Apartment,129000,1.0,42.0,Installed,0.0,,,,,,42.0,,2.0,0.0, Just renovated
2965,6060 Gilly,Apartment,129000,3.0,100.0,Installed,0.0,,,,,,100.0,,,, Good
2966,6000 Charleroi Marchienne-au-Pont,House,129000,2.0,118.0,Installed,0.0,,,,,,118.0,80.0,3.0,0.0, As new
2967,7170 La Hestre,House,129000,,150.0,,0.0,,,,,,150.0,,,, To be done up
2968,8530 Harelbeke,House,129000,2.0,,,,,,,,,,,,,
2969,7760 Molenbaix,House,129000,3.0,,Semi equipped,1.0,,,,,,,,,, To renovate
2970,6200 Chatelet,House,129000,3.0,,,0.0,,,,,,,,2.0,, Good
2971,6200 Chtelet,House,129000,3.0,,,0.0,,,,,,,,2.0,,
2972,2100 Deurne,Apartment,129000,1.0,61.0,Semi equipped,0.0,,,,,,61.0,,2.0,, To renovate
2973,1030 Schaerbeek,Apartment,129000,1.0,41.0,Installed,,,1.0,7.0,,,41.0,,2.0,, Good
2974,2100 Deurne,Apartment,129000,1.0,,Semi equipped,0.0,,,,,,,,3.0,, As new
2975,8972 Proven,House,129000,3.0,130.0,Installed,0.0,,,,1.0,11.0,130.0,77.0,3.0,, Good
2976,8370 Blankenberge,Studio,129000,,33.0,Installed,0.0,,,,,,33.0,,4.0,0.0, To be done up
2977,2018 Antwerp,Apartment,129000,1.0,34.0,Installed,1.0,,,,,,34.0,,,0.0, Good
2978,4000 LIEGE,Apartment,129000,2.0,93.0,,,,1.0,1.0,,,93.0,,2.0,,
2979,6031 Monceau-sur-Sambre,House,129000,4.0,167.0,Not installed,0.0,,1.0,11.0,1.0,44.0,167.0,139.0,2.0,0.0, To be done up
2980,1082 BERCHEM-SAINTE-AGATHE,Apartment,129000,1.0,55.0,,0.0,,1.0,2.0,,,55.0,,,, Good
2981,4031 Angleur,House,129000,2.0,73.0,USA semi equipped,0.0,,,,,,73.0,,2.0,, As new
2982,7140 Morlanwelz,House,129000,3.0,72.0,Installed,0.0,,1.0,16.0,,,72.0,90.0,2.0,0.0, To be done up
2983,7100 La Louviere,House,129000,2.0,122.0,Installed,0.0,,,,1.0,40.0,122.0,,2.0,, To be done up
2984,7110 STREPY-BRACQUEGNIES,House,129000,2.0,122.0,Installed,0.0,,,,1.0,40.0,122.0,,2.0,, To be done up
2985,7160 PIETON,Mixed-use building,129000,5.0,160.0,Semi equipped,0.0,,,,1.0,85.0,160.0,330.0,3.0,0.0, To be done up
2986,7160 PIETON,House,129000,5.0,160.0,Semi equipped,0.0,,,,1.0,85.0,160.0,330.0,3.0,0.0, To be done up
2987,6010 Couillet,House,129000,3.0,100.0,Semi equipped,0.0,,1.0,10.0,1.0,120.0,100.0,,2.0,, Good
2988,3400 Landen,Apartment,129000,2.0,69.0,Installed,0.0,,1.0,7.0,,,69.0,,2.0,, To be done up
2989,3270 Scherpenheuvel,House,129000,1.0,,,0.0,,,,,,,440.0,3.0,, To renovate
2990,9280 Lebbeke,House,129000,3.0,142.0,Not installed,0.0,,,,,,142.0,106.0,3.0,, To renovate
2991,4020 Lige 2,Apartment,129000,2.0,61.0,Installed,0.0,,1.0,1.0,,,61.0,,2.0,,
2992,4870 Trooz,House,129000,3.0,151.0,Semi equipped,0.0,,1.0,70.0,,,151.0,235.0,2.0,, Good
2993,2660 Antwerpen,Apartment,129000,1.0,,Installed,0.0,,1.0,8.0,,,,,,0.0, Good
2994,1480 Clabecq,House,129000,2.0,114.0,,,,,,,,114.0,215.0,3.0,,
2995,6020 Dampremy,House,129000,3.0,150.0,Installed,,,,,1.0,176.0,150.0,300.0,3.0,, Good
2996,1640 Sint-Genesius-Rode,Service flat,129000,1.0,40.0,Hyper equipped,0.0,,,,,,40.0,,,, Good
2997,1652 Beersel Alsemberg,Service flat,129000,1.0,40.0,Hyper equipped,0.0,,,,,,40.0,,,, Good
2998,1080 Molenbeek-Saint-Jean,Studio,129000,,59.0,Installed,0.0,,1.0,8.0,,,59.0,,2.0,0.0, As new
2999,7140 Morlanwelz,House,129000,1.0,,,0.0,,,,1.0,300.0,,,,, Good
3000,6441 Erpion,House,129000,2.0,80.0,Installed,0.0,,,,,,80.0,,4.0,0.0, Good
