,locality,proprety_type,price,bedrooms,area,equipped_kitchen,furnished,open_fire,terrace,terrace_area,garden,garden_area,surface,surface_plot,facades,swimming_pool,state
7220,3630 Maasmechelen,Apartment,160000,1.0,,Installed,0.0,,,,1.0,60.0,,,2.0,0.0, As new
7221,1050 Ixelles,Apartment,160000,1.0,35.0,Installed,,,,,,,35.0,,2.0,, To be done up
7222,1050 Ixelles,Apartment,160000,1.0,35.0,Installed,,,,,,,35.0,,2.0,, To be done up
7223,1160 Auderghem,Studio,160000,1.0,50.0,Installed,,,1.0,7.0,1.0,11.0,50.0,,2.0,0.0, To renovate
7224,1501 Buizingen,House,160000,2.0,,Installed,,,,,,,,152.0,2.0,, To renovate
7225,3530 Houthalen-Helchteren,House,160000,3.0,,Not installed,,,,,,,,360.0,3.0,, To be done up
7226,4020 Lige,Apartment,160000,2.0,81.0,Installed,0.0,,,,,,81.0,,2.0,, Good
7227,5543 Hastiere,House,160000,2.0,124.0,Not installed,0.0,,1.0,20.0,1.0,200.0,124.0,280.0,3.0,, To be done up
7228,7090 HENNUYRES,House,160000,3.0,110.0,Semi equipped,0.0,,,,,,110.0,450.0,,, To renovate
7229,8870 Izegem,Apartment,160000,2.0,,Installed,0.0,,1.0,2.0,,,,,,0.0, Just renovated
7230,6200 BOUFFIOULX,House,160000,4.0,195.0,Semi equipped,0.0,,1.0,2.0,,,195.0,207.0,2.0,, Just renovated
7231,1400 Nivelles,Apartment,160000,1.0,50.0,Installed,0.0,,,,,,50.0,,2.0,0.0, As new
7232,7390 Quaregnon,House,160000,3.0,120.0,USA installed,0.0,,,,,,120.0,210.0,2.0,0.0, Good
7233,2600 Antwerp,Apartment,160000,2.0,92.0,,,,,,,,92.0,,4.0,,
7234,6980 La Roche-en-Ardenne,Apartment,160000,2.0,80.0,Installed,1.0,,,,,,80.0,,2.0,0.0, As new
7235,6980 La Roche-en-Ardenne,Apartment,160000,2.0,80.0,Installed,1.0,,1.0,35.0,,,80.0,,2.0,0.0, As new
7236,9320 Aalst Erembodegem,Ground floor,160000,1.0,65.0,Installed,,,1.0,12.0,1.0,36.0,65.0,,2.0,, As new
7237,7340 Paturages,House,160000,3.0,154.0,,0.0,,,,,,154.0,290.0,2.0,, To be done up
7238,7370 Dour,House,160000,2.0,103.0,,0.0,,,,,,103.0,773.0,4.0,, To be done up
7239,7911 Frasnes-lez-Buissenal,House,160000,1.0,72.0,,0.0,,,,,,72.0,15.0,2.0,, To be done up
7240,7100 La Louvire Haine-Saint-Pierre,Apartment,160000,2.0,100.0,USA installed,0.0,,,,,,100.0,,,, As new
7241,1090 Jette,Apartment,160000,2.0,,,,,,,,,,,,, To renovate
7242,9900 Eeklo,Apartment,160000,1.0,60.0,Installed,0.0,,,,,,60.0,,,0.0, As new
7243,9900 Eeklo,Apartment,160000,1.0,60.0,Installed,0.0,,,,,,60.0,,,0.0, As new
7244,7090 Braine-le-Comte,Apartment,160000,1.0,65.0,Not installed,0.0,,1.0,35.0,,,65.0,,,,
7245,4020 Jupille-sur-Meuse,House,160000,2.0,132.0,,,,,,1.0,40.0,132.0,222.0,,, To renovate
7246,9620 Zottegem,New real estate project - Apartments,160000,,,,,,,,,,,,,,
7247,6250 Aiseau-Presles,House,160000,2.0,111.0,Installed,0.0,,,,,,111.0,220.0,3.0,, To be done up
7248,7301 Hornu,House,160000,2.0,101.0,Installed,0.0,,,,,,101.0,310.0,2.0,, Good
7249,8770 Ingelmunster,House,160000,3.0,181.0,,0.0,,,,,,181.0,209.0,,, To renovate
7250,5190 Ham-sur-Sambre,House,160000,3.0,100.0,Installed,0.0,,,,1.0,567.0,100.0,567.0,2.0,, To be done up
7251,6600 Bastogne,House,160000,3.0,106.0,,,,,,,,106.0,335.0,3.0,, To be done up
7252,3300 Tienen,Apartment,160000,2.0,,,,,,,,,,,,,
7253,6810 Jamoigne,House,160000,2.0,144.0,Not installed,0.0,,,,,,144.0,544.0,,, Good
7254,7866 Bois-de-Lessines,House,160000,2.0,94.0,Semi equipped,0.0,,,,,,94.0,600.0,4.0,, To renovate
7255,1080 Molenbeek-St-Jean,Apartment,160000,1.0,74.0,Semi equipped,,,1.0,7.0,,,74.0,,,, Good
7256,2018 Antwerp,Apartment,160000,1.0,74.0,Installed,,,,,,,74.0,,,,
7257,2660 Antwerp,Apartment,160000,2.0,86.0,,,,,,,,86.0,,2.0,,
7258,8301 Knokke-Heist,Apartment,160000,2.0,,Installed,,,,,,,,,3.0,, Just renovated
7259,3360 Korbeek-Lo,House,160000,2.0,136.0,,,,,,,,136.0,200.0,3.0,, To renovate
7260,4170 Comblain-au-Pont,House,160000,2.0,150.0,Not installed,,,1.0,30.0,,,150.0,118.0,2.0,, To be done up
7261,7301 Hornu,House,160000,3.0,167.0,,0.0,,,,,,167.0,170.0,2.0,,
7262,7390 Wasmuel,House,160000,2.0,154.0,,0.0,,,,,,154.0,30.0,2.0,,
7263,8570 VICHTE,Apartment,160000,2.0,70.0,Installed,0.0,,1.0,10.0,,,70.0,,,,
7264,4100 Seraing,Apartment block,160000,4.0,176.0,,0.0,,,,,,176.0,169.0,3.0,0.0, Good
7265,2430 Laakdal,Ground floor,160000,2.0,90.0,,,,,,,,90.0,,2.0,,
7266,2400 Mol,House,160000,2.0,143.0,Installed,0.0,,,,,,143.0,140.0,2.0,, To renovate
7267,4500 Huy,House,160000,4.0,,,,,,,,,,645.0,2.0,, To renovate
7268,6043 Ransart,House,160000,3.0,110.0,Not installed,0.0,,1.0,10.0,1.0,900.0,110.0,1200.0,3.0,0.0, Good
7269,9160 Lokeren,House,160000,2.0,142.0,Installed,,,,,,,142.0,130.0,2.0,,
7270,1050 Ixelles,Apartment,160000,1.0,,Installed,,,,,,,,,,,
7271,1060 Saint-Gilles,Apartment,160000,2.0,,Installed,,,,,,,,,,,
7272,8434 Westende Middelkerke,Studio,160000,,55.0,,0.0,,,,,,55.0,,2.0,,
7273,6470 Montbliart,House,160000,3.0,162.0,Installed,0.0,,1.0,20.0,,,162.0,700.0,4.0,,
7274,4500 Huy,House,160000,2.0,,,,,,,,,,112.0,,, To be done up
7275,6280 Gerpinnes,House,160000,3.0,178.0,,,,,,,,178.0,1457.0,3.0,, To be done up
7276,8433 Mannekensvere,House,160000,3.0,135.0,Installed,,,,,,,135.0,762.0,,,
7277,2400 Mol,House,160000,3.0,,,,,,,,,,128.0,3.0,,
7278,6001 Marcinelle,House,160000,2.0,122.0,Hyper equipped,,,,,,,122.0,,2.0,, As new
7279,8400 Oostende,Ground floor,160000,2.0,,Installed,,,,,,,,,2.0,,
7280,1180 Uccle,Apartment,160000,2.0,,Not installed,,,,,,,,,,,
7281,9900 Eeklo,Apartment,160000,1.0,65.0,,0.0,,,,,,65.0,,2.0,,
7282,6031 Monceau-sur-Sambre,House,160000,4.0,215.0,Installed,0.0,,,,,,215.0,255.0,2.0,,
7283,1080 Molenbeek-Saint-Jean,Apartment,160000,1.0,80.0,Installed,,,,,,,80.0,,,,
